Algorithm,Problem,Run,Score
CMAES,prob1,1,36.34498416605864
CMAES,prob1,2,36.35674854777089
CMAES,prob1,3,36.356575189913215
CMAES,prob2,1,31.48094614474443
CMAES,prob2,2,31.48129699727518
CMAES,prob2,3,31.480946762261837
CMAES,prob3,1,28.512560929748663
CMAES,prob3,2,28.270678742446616
CMAES,prob3,3,28.57787128038807
CMAES,prob4,1,6045.334447153844
CMAES,prob4,2,5808.9640483119265
CMAES,prob4,3,6226.276401881514
DE,prob1,1,36.602908433685556
DE,prob1,2,36.69448730122863
DE,prob1,3,36.56015406784014
DE,prob2,1,31.481347241601433
DE,prob2,2,31.48343999509838
DE,prob2,3,31.481303008672697
DE,prob3,1,30.64988116881263
DE,prob3,2,30.53532588649193
DE,prob3,3,30.681913310888387
DE,prob4,1,6064.853270972669
DE,prob4,2,6489.106503911753
DE,prob4,3,6172.617379912442
GA,prob1,1,37.88538236563301
GA,prob1,2,37.691614247513755
GA,prob1,3,36.56103733849901
GA,prob2,1,31.49361273098789
GA,prob2,2,31.497452268761705
GA,prob2,3,31.488491290876784
GA,prob3,1,40.49783643265582
GA,prob3,2,42.428288771411964
GA,prob3,3,43.39872937565759
GA,prob4,1,5505.947780815837
GA,prob4,2,6212.17665695653
GA,prob4,3,6104.668989704908
MultiSegment,prob1,1,36.465030366830575
MultiSegment,prob1,2,38.389057045912615
MultiSegment,prob1,3,38.389175679658415
MultiSegment,prob2,1,22538.770496853278
MultiSegment,prob2,2,22538.77049685337
MultiSegment,prob2,3,22538.770496853365
MultiSegment,prob3,1,29.73413135526346
MultiSegment,prob3,2,29.58847696168939
MultiSegment,prob3,3,28.39653331972007
MultiSegment,prob4,1,8000.793819152615
MultiSegment,prob4,2,8139.119743378002
MultiSegment,prob4,3,8574.030606803544
BIPOP,prob1,1,37.354748623822836
BIPOP,prob1,2,38.39047491504777
BIPOP,prob1,3,37.36220433018994
BIPOP,prob2,1,31.480946144745054
BIPOP,prob2,2,31.48094614474437
BIPOP,prob2,3,31.48094614474443
BIPOP,prob3,1,28.28370652073048
BIPOP,prob3,2,29.381447864302217
BIPOP,prob3,3,28.94610388455065
BIPOP,prob4,1,5149.519904392656
BIPOP,prob4,2,3104.26083132861
BIPOP,prob4,3,5782.328177993266
SHADE,prob1,1,36.4885560596274
SHADE,prob1,2,36.35204997884288
SHADE,prob1,3,36.40889981556175
SHADE,prob2,1,31.48094614474413
SHADE,prob2,2,31.4809461447441
SHADE,prob2,3,31.48094614474418
SHADE,prob3,1,28.805076168710606
SHADE,prob3,2,28.315523280870696
SHADE,prob3,3,28.227540415364608
SHADE,prob4,1,5767.947892555467
SHADE,prob4,2,5418.860147207216
SHADE,prob4,3,6496.14359647476
BipopAdaptif,prob1,1,37.35896765520297
BipopAdaptif,prob1,2,37.379730298010784
BipopAdaptif,prob1,3,38.390347212690465
BipopAdaptif,prob2,1,31.48094614474796
BipopAdaptif,prob2,2,31.48094644865319
BipopAdaptif,prob2,3,31.480946144744514
BipopAdaptif,prob3,1,29.006252395984685
BipopAdaptif,prob3,2,28.864761117339167
BipopAdaptif,prob3,3,29.542772466545156
BipopAdaptif,prob4,1,5740.99618119485
BipopAdaptif,prob4,2,5803.718804668326
BipopAdaptif,prob4,3,5468.211954899145
